No.,施設所在地,施設方書,施設屋号,営業者名,営業所電話番号,許可番号,業種,初回許可日,許可開始日,許可満了日
16,東京都世田谷区下馬二丁目４４番１６号,-,ほっともっと　世田谷三宿通り店,株式会社　野鶴,03-5431-5195,8世保生食ほ第659号,飲食店営業,令和8年7月27日,令和8年7月27日,令和15年7月31日
17,東京都世田谷区下馬五丁目３５番５号,２Ｆ,ｔｏｒｓｅ,株式会社ｒｕｒｕ,03-6453-2418,8世保生食ほ第506号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
18,東京都世田谷区太子堂二丁目１５番８号,松山貸店舗２階部分,Ｖ　ｂａｒ,株式会社ＭＴｅｍｐｔｙ,-,8世保生食ほ第413号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
19,東京都世田谷区太子堂二丁目１７番１０号,ＡＣＮ三軒茶屋ビル２階,ＢＹＥ　ＢＹＥ　ＭＲ．,有限会社エム・アール・ケイ,-,8世保生食ほ第609号,飲食店営業,令和8年7月15日,令和8年7月15日,令和14年7月31日
20,東京都世田谷区太子堂二丁目３２番２号,加藤ビル１Ｆ,アイスナイン,***,03-3411-4524,8世保生食ほ第382号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
21,東京都世田谷区太子堂四丁目３番３号,クレアーレ三軒茶屋２階,ＳＵＳＨＩ　ＣＯＺＹ　ＳＡＮＣＨＡ＋,株式会社ＳＵＳＨＩ　ＣＯＺＹ,-,8世保生食ほ第597号,飲食店営業,令和8年7月10日,令和8年7月10日,令和15年7月31日
22,東京都世田谷区太子堂四丁目６番６号,-,ＳＡＮＣＨＡＣＯ,合同会社シナモンチャイ,-,8世保生食ほ第299号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
23,東京都世田谷区太子堂四丁目２７番１０号,瑞樹ビル１Ｆ,カレーハウスＣｏＣｏ壱番屋　世田谷区三軒茶屋店,***,5779-9559,8世保生食ほ第303号,飲食店営業,令和8年7月1日,令和8年7月1日,令和15年6月30日
24,東京都世田谷区太子堂四丁目２８番６号,サンハイツビル１Ｆ,ガマダス,***,03-5432-9585,8世保生食ほ第337号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
25,東京都世田谷区太子堂五丁目１７番１５号,-,伊勢屋,***,03-3414-7655,8世保生食ほ第613号,豆腐製造業,令和8年7月30日,令和8年7月30日,令和14年7月31日
26,東京都世田谷区太子堂五丁目１７番１５号,-,伊勢屋,***,03-3414-7655,8世保生食ほ第614号,飲食店営業,令和8年7月30日,令和8年7月30日,令和14年7月31日
27,東京都世田谷区三軒茶屋一丁目３５番３号,-,３ｒｄ　ｃａｆｅ,合同会社Ａ,-,8世保生食ほ第687号,菓子製造業,令和8年7月30日,令和8年7月30日,令和14年7月31日
28,東京都世田谷区三軒茶屋一丁目４１番１２号,ファーストビル１階,ＳＵＮＮＹ　丼丸　三軒茶屋店,リンクスロジ合同会社,-,8世保生食ほ第602号,飲食店営業,令和8年7月31日,令和8年7月31日,令和14年7月31日
29,東京都世田谷区三軒茶屋二丁目１３番１１号,大森屋ビル１Ｆ,大塚家,株式会社ＡＤＵＬＴＥ,5431-3335,8世保生食ほ第520号,飲食店営業,令和8年7月8日,令和8年7月8日,令和14年7月31日
30,東京都世田谷区上馬一丁目１５番１０号,オリエント三軒茶屋ハウス１０２号,三軒茶屋アルカナ占いカフェ＆バー,***,03-6450-7442,8世保生食ほ第505号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
31,東京都世田谷区上馬一丁目１７番８号,根岸建物,Ｈａｒｕ　Ｈａｎａ　〇Ｍ,***,-,8世保生食ほ第519号,飲食店営業,令和8年7月7日,令和8年7月7日,令和14年7月31日
32,東京都世田谷区駒沢一丁目１７番１４号,ＹＳフラッツ駒沢,しまんちゅパーラー,株式会社ｗａｒａｂａｒ,-,8世保生食ほ第568号,飲食店営業,令和8年7月15日,令和8年7月15日,令和14年7月31日
33,東京都世田谷区駒沢四丁目１１番１２号,パークハウス１階,ＰＡＲＫＳＩＤＥ　ＫＩＯＳＫ／Ｃ,ＣＢＣ合同会社,-,8世保生食ほ第359号,飲食店営業,令和8年7月3日,令和8年7月3日,令和14年7月31日
34,東京都世田谷区深沢五丁目１番８号,-,クッポグラフィー駒沢公園スタジオ,株式会社クッポグラフィー,6805-9161,8世保生食ほ第384号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
35,東京都世田谷区新町二丁目２番１４号,チェリー新町１Ｆ,ＷＩＮＥ　ＳＴＯＲＥ　１６℃,***,-,8世保生食ほ第327号,飲食店営業,令和8年7月15日,令和8年7月15日,令和14年7月31日
36,東京都世田谷区桜新町二丁目１０番１号,-,ファミリーマート桜新町駅前店,株式会社春日屋,5426-3237,8世保生食ほ第369号,飲食店営業,令和8年7月1日,令和8年7月1日,令和15年6月30日
37,東京都世田谷区用賀二丁目３８番１５号,田縁ビル１階,松のや　用賀店,株式会社松屋フーズ,-,8世保生食ほ第640号,飲食店営業,令和8年7月27日,令和8年7月27日,令和15年7月31日
38,東京都世田谷区用賀三丁目１５番５号,森田ビル１Ｆ,Ｂｕｒｇｅｒ　ＰＯＬＩＣＥ　ＤＩＮＥＲ,***,03-6431-0250,8世保生食ほ第516号,飲食店営業,令和8年7月13日,令和8年7月13日,令和15年7月31日
39,東京都世田谷区用賀四丁目２０番１１号,スズキビル,ファミリーマート用賀四丁目店,***,03-5898-5631,8世保生食ほ第424号,飲食店営業,令和8年7月14日,令和8年7月14日,令和15年7月31日
40,東京都世田谷区瀬田二丁目１４番６号,フラット瀬田１Ｆ,ラボラトーリオ,***,-,8世保生食ほ第612号,飲食店営業,令和8年7月17日,令和8年7月17日,令和14年7月31日
41,東京都世田谷区玉川一丁目１４番１号１階,二子玉川ライズＳ．Ｃ．テラスマーケット,一風堂二子玉川ライズＳ．Ｃ．店,株式会社力の源カンパニー,03-6447-9766,8世保生食ほ第466号,飲食店営業,令和8年7月6日,令和8年7月6日,令和15年7月31日
42,東京都世田谷区玉川二丁目２１番１号,東急フードショー,ライズＳ．Ｃ．東急フードショー店　ＴＨＥ　ＷＩＮＥ,株式会社東急百貨店,03-6805-7111,8世保生食ほ第628号,飲食店営業,令和8年7月24日,令和8年7月24日,令和15年7月31日
43,東京都世田谷区玉川二丁目２１番１号,東急フードショー,ライズＳ．Ｃ．東急フードショー店　食紀行催事場Ⅰ,株式会社東急百貨店,03-6805-7111,8世保生食ほ第629号,飲食店営業,令和8年7月27日,令和8年7月27日,令和15年7月31日
44,東京都世田谷区玉川三丁目７番１８号,玉川髙島屋Ｓ・Ｃ南館９Ｆ,壁の穴,株式会社壁の穴,03-5797-9576,8世保生食ほ第578号,飲食店営業,令和8年7月13日,令和8年7月13日,令和15年7月31日
45,東京都世田谷区玉川三丁目１７番１号,-,髙島屋玉川店　本館地下１階　Ｔステージデリ,株式会社髙島屋,3709-3111,8世保生食ほ第604号,飲食店営業,令和8年7月14日,令和8年7月14日,令和15年7月31日
46,東京都世田谷区玉川三丁目２０番８号,サントピア玉川第一１０１,Ｖｉｖｉｄ　Ａｊｉａ,株式会社ジュンバタンメラ,03-6411-7258,8世保生食ほ第390号,飲食店営業,令和8年7月1日,令和8年7月1日,令和15年6月30日
47,東京都世田谷区上野毛二丁目２３番１９号,-,ローソン世田谷上野毛２丁目店,有限会社岩崎企画,03-6411-7360,8世保生食ほ第457号,飲食店営業,令和8年7月8日,令和8年7月8日,令和15年7月31日
48,東京都世田谷区等々力二丁目９番１０号,三秀ビル１０１,スナック　アンポンタン,合資会社のーぶる,3701-4929,8世保生食ほ第378号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
49,東京都世田谷区等々力四丁目１番１号,-,有限会社　魚辰,有限会社魚辰,3701-1702,8世保生食ほ第307号,魚介類販売業,令和8年7月1日,令和8年7月1日,令和14年6月30日
50,東京都世田谷区等々力四丁目１番１号,-,有限会社　武田惣菜店,有限会社武田惣菜店,3702-4642,8世保生食ほ第380号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
51,東京都世田谷区等々力八丁目１９番６号,-,エピュイ,***,6755-6834,8世保生食ほ第322号,菓子製造業,令和8年7月1日,令和8年7月1日,令和14年6月30日
52,東京都世田谷区尾山台二丁目３２番１０号,アークファイブ尾山台１Ｆ,ちひろ菓子店　尾山台,株式会社ＤＡＤＡＣＡ,03-6432-3644,8世保生食ほ第569号,飲食店営業,令和8年7月7日,令和8年7月7日,令和15年7月31日
53,東京都世田谷区尾山台三丁目２４番１１号,第１０大浦ビル１Ｆ１０２,ａｎｎｅａｕ,***,-,8世保生食ほ第534号,飲食店営業,令和8年7月14日,令和8年7月14日,令和14年7月31日
54,東京都世田谷区尾山台三丁目３４番７号,福井屋ビルＢ１,肉球,株式会社エムエイチエス,-,8世保生食ほ第376号,飲食店営業,令和8年7月6日,令和8年7月6日,令和14年7月31日
55,東京都世田谷区奥沢三丁目１２番６号,リン・アルボ奥沢１階,ｄａｌ　Ｂａｒｏｎｅ,***,03-6421-9306,8世保生食ほ第310号,飲食店営業,令和8年7月1日,令和8年7月1日,令和15年6月30日
56,東京都世田谷区奥沢四丁目２７番１２号,-,さいとう,***,03-3727-6233,8世保生食ほ第392号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
57,東京都世田谷区奥沢六丁目５番１２号,-,蕎麦　おまた,***,03-3701-5155,8世保生食ほ第244号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
58,東京都世田谷区奥沢六丁目２８番４号,ワイズニール自由ヶ丘１０２号,雫石,***,6432-2503,8世保生食ほ第383号,飲食店営業,令和8年7月1日,令和8年7月1日,令和15年6月30日
59,東京都世田谷区北沢二丁目１番８号,サンコービルＢ１Ｆ,てるや,***,03-3418-6011,8世保生食ほ第333号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
60,東京都世田谷区北沢二丁目９番１３号,岸田４号館Ａ,Ｌｅ　Ｇｒａｎｄ　ｃａｒｔ,***,03-3465-9040,8世保生食ほ第434号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
61,東京都世田谷区北沢二丁目９番２２号,ＥＩＫＯ下北ビル１Ｆ,おむかい,株式会社はうてん,03-4285-7018,8世保生食ほ第318号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
62,東京都世田谷区北沢二丁目１２番１２号,桑田ビルＢ１Ｆ,星乃珈琲店　スフレ館　下北沢店,日本レストランシステム株式会社,5787-3873,8世保生食ほ第430号,飲食店営業,令和8年7月1日,令和8年7月1日,令和15年6月30日
63,東京都世田谷区北沢二丁目１４番８号,ミナミビルＢ１Ｆ,魚えもん下北沢店,株式会社ジュネストリー,03-6450-7188,8世保生食ほ第475号,飲食店営業,令和8年7月10日,令和8年7月10日,令和15年7月31日
64,東京都世田谷区北沢二丁目１９番５号,大塚ビル１・２Ｆ,下北居酒屋　ひげちょうちん,株式会社プレンティフルプロジェクト,6902-0751,8世保生食ほ第443号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
65,東京都世田谷区北沢二丁目２３番２号,ポルテ下北沢２Ｆ,ＯＣＨＥＲ,株式会社ＢｕｚｚＨｅｒｏ,-,7世保生食ほ第1933号,飲食店営業,令和8年7月17日,令和8年7月17日,令和15年7月31日
66,東京都世田谷区北沢二丁目２３番１２号,Ｍビル１Ｆ,ｃａｎｐｙ,***,-,8世保生食ほ第525号,飲食店営業,令和8年7月10日,令和8年7月10日,令和14年7月31日
67,東京都世田谷区北沢二丁目２６番６号,モンブランビル　２Ｆ,Ｃａｔｅｒｉａｍ,有限会社ひのめ,3468-8114,8世保生食ほ第402号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
68,東京都世田谷区北沢二丁目２９番１６号,高木ビル１階,ｃａｆｅｇａｒａｇｅ　Ｄｏｇｂｅｒｒｙ,Ｍｕｓｕｂｉホールディングス株式会社,03-6804-9292,8世保生食ほ第295号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
69,東京都世田谷区北沢二丁目３３番７号,芳澤ビル１Ｆ,夢吟坊　下北沢店,株式会社夢吟坊,-,8世保生食ほ第495号,飲食店営業,令和8年7月31日,令和8年7月31日,令和15年7月31日
70,東京都世田谷区北沢二丁目３４番１０号,ミチルビル１,元気七輪焼肉　牛繁下北沢店,株式会社さかもとストア,03-5738-5029,8世保生食ほ第515号,飲食店営業,令和8年7月1日,令和8年7月1日,令和15年6月30日
71,東京都世田谷区梅丘一丁目１５番９号,１階,うなとら　梅ヶ丘店,株式会社ＥＶＯＬ,03-6754-2779,8世保生食ほ第449号,飲食店営業,令和8年7月17日,令和8年7月17日,令和14年7月31日
72,東京都世田谷区豪徳寺一丁目４７番８号,-,旬菜魚　いなだ,***,03-3428-4235,8世保生食ほ第283号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
73,東京都世田谷区松原三丁目２９番２２号,-,ばんや,***,3323-1650,8世保生食ほ第316号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
74,東京都世田谷区松原三丁目４１番９号,-,一　風,***,03-3328-9888,8世保生食ほ第510号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
75,東京都世田谷区赤堤四丁目４２番１８号,吉見ビル１Ｆ,ナカガワのナカガワ,株式会社中川町地域開発振興公社,03-6379-0165,8世保生食ほ第344号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
76,東京都世田谷区赤堤四丁目４８番１０号,-,サーティワンアイスクリーム下高井戸,有限会社成城ペガサス,03-6379-3213,8世保生食ほ第575号,飲食店営業,令和8年7月13日,令和8年7月13日,令和15年7月31日
77,東京都世田谷区船橋一丁目９番４５号,小田急マルシェ千歳船橋２,セブン－イレブン小田急マルシェ千歳船橋店,小田急商事株式会社,-,8世保生食ほ第546号,飲食店営業,令和8年7月23日,令和8年7月23日,令和15年7月31日
78,東京都世田谷区船橋一丁目３８番５号,-,ドミノ・ピザ千歳船橋店,株式会社ドミノ・ピザジャパン,03-5490-7090,8世保生食ほ第271号,飲食店営業,令和8年7月1日,令和8年7月1日,令和15年6月30日
79,東京都世田谷区船橋六丁目３番１４号,-,酒房　旬,***,3303-3078,8世保生食ほ第266号,飲食店営業,令和8年7月1日,令和8年7月1日,令和15年6月30日
80,東京都世田谷区千歳台一丁目４０番１０号,-,たか島,***,03-3482-2836,8世保生食ほ第633号,飲食店営業,令和8年7月22日,令和8年7月22日,令和14年7月31日
81,東京都世田谷区祖師谷四丁目２４番２２号,-,Ｔｒａｔｔｏｒｉａ　Ｒｉｏ,***,03-3484-5914,8世保生食ほ第647号,飲食店営業,令和8年7月22日,令和8年7月22日,令和14年7月31日
82,東京都世田谷区成城六丁目６番１０号,-,すずまさ,株式会社ヌーボー,3483-0150,8世保生食ほ第292号,食肉販売業,令和8年7月1日,令和8年7月1日,令和15年6月30日
83,東京都世田谷区成城七丁目１８番１１号,成城フードセンター,小島水産,***,3482-8956,8世保生食ほ第353号,魚介類販売業,令和8年7月1日,令和8年7月1日,令和14年6月30日
84,東京都世田谷区喜多見四丁目５番９号,-,山田屋喜多見支店,***,3749-9356,8世保生食ほ第441号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
85,東京都世田谷区喜多見四丁目５番９号,-,山田屋喜多見支店,***,3749-9356,8世保生食ほ第442号,食肉販売業,令和8年7月1日,令和8年7月1日,令和14年6月30日
86,東京都世田谷区砧三丁目５番１号,オークラマンション１階,バスナ,ＫＡＭＡＬＡ株式会社,3415-5786,8世保生食ほ第270号,飲食店営業,令和8年7月1日,令和8年7月1日,令和15年6月30日
87,東京都世田谷区砧三丁目１７番２号,グランドール砧１０２号,鯉寿し　砧店,***,3415-1562,8世保生食ほ第261号,飲食店営業,令和8年7月1日,令和8年7月1日,令和15年6月30日
88,東京都世田谷区砧六丁目３６番６号,ＦＬＡＰＢＬＤＧ　ＫＩＮＵＴＡ　３Ｆ　Ｈ号室,ＢＡＲ　ＭｕＳｕｂｉ,***,-,8世保生食ほ第701号,飲食店営業,令和8年7月29日,令和8年7月29日,令和14年7月31日
89,東京都世田谷区上北沢三丁目１７番６号,１階,神の一手　ＣＯＦＦＥＥ,仙の豆株式会社,-,8世保生食ほ第618号,飲食店営業,令和8年7月23日,令和8年7月23日,令和15年7月31日
90,東京都世田谷区粕谷四丁目１６番１２号,メゾンエスポワール１Ｆ,ＤｅａｒＢｒｅａｄ,***,-,8世保生食ほ第544号,飲食店営業,令和8年7月17日,令和8年7月17日,令和15年7月31日
91,東京都世田谷区粕谷四丁目１６番１２号,メゾンエスポワール１Ｆ,ＤｅａｒＢｒｅａｄ,***,-,8世保生食ほ第545号,菓子製造業,令和8年7月17日,令和8年7月17日,令和15年7月31日
92,東京都世田谷区粕谷四丁目２０番１８号,幸栄マンション１１２,炭火串焼　さくらだ,***,03-5969-9830,8世保生食ほ第346号,飲食店営業,令和8年7月1日,令和8年7月1日,令和15年6月30日
93,東京都世田谷区南烏山四丁目１３番３号,スターホームズ千歳烏山１１７,ＭＡＲＯＵ,***,-,8世保生食ほ第532号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
94,東京都世田谷区南烏山五丁目１１番７号,-,ファミリー,***,3300-5035,8世保生食ほ第643号,飲食店営業,令和8年7月24日,令和8年7月24日,令和14年7月31日
95,東京都世田谷区南烏山六丁目４番１２号,第５野萩ビル２０３号室,ＲＯＯＴ,***,-,8世保生食ほ第300号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
96,東京都世田谷区南烏山六丁目４番１２号,サンハイツ烏山２０３,ＶＩＰ　ＲＯＯＭ　０８,データサイエンティスト合同会社,03-6909-1080,8世保生食ほ第582号,飲食店営業,令和8年7月13日,令和8年7月13日,令和15年7月31日
97,東京都世田谷区南烏山六丁目１８番２１号,-,美鈴コーヒー株式会社,美鈴コーヒー株式会社,6279-5821,8世保生食ほ第418号,魚介類販売業,令和8年7月1日,令和8年7月1日,令和14年6月30日
98,東京都世田谷区南烏山六丁目１８番２１号,-,美鈴コーヒー株式会社,美鈴コーヒー株式会社,6279-5821,8世保生食ほ第419号,食肉販売業,令和8年7月1日,令和8年7月1日,令和14年6月30日
99,東京都世田谷区南烏山六丁目２８番１２号,-,バー　ミシェル,***,03-5969-8974,8世保生食ほ第509号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
