屋号,住所,方書,エリア,業種,許可番号,初回許可日,許可開始日,判定,チェーン名,出典月,地図,検索
てるや,東京都世田谷区北沢二丁目1番8号,サンコービルB1F,北沢,飲食店営業,8世保生食ほ第333号,2026-07-01,2026-07-01,更新,,令和8年7月,https://www.google.com/maps/search/?api=1&query=%E3%81%A6%E3%82%8B%E3%82%84%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE1%E7%95%AA8%E5%8F%B7,https://www.google.com/search?q=%E3%81%A6%E3%82%8B%E3%82%84%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE1%E7%95%AA8%E5%8F%B7
おむかい,東京都世田谷区北沢二丁目9番22号,EIKO下北ビル1F,北沢,飲食店営業,8世保生食ほ第318号,2026-07-01,2026-07-01,更新,,令和8年7月,https://www.google.com/maps/search/?api=1&query=%E3%81%8A%E3%82%80%E3%81%8B%E3%81%84%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE9%E7%95%AA22%E5%8F%B7,https://www.google.com/search?q=%E3%81%8A%E3%82%80%E3%81%8B%E3%81%84%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE9%E7%95%AA22%E5%8F%B7
ｓａｎｓａｔｏ,東京都世田谷区代沢五丁目36番14号,sansato1F,代沢,飲食店営業,8世保生食ほ第439号,2026-06-30,2026-06-30,個店,,令和8年6月,https://www.google.com/maps/search/?api=1&query=sansato%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E6%B2%A2%E4%BA%94%E4%B8%81%E7%9B%AE36%E7%95%AA14%E5%8F%B7,https://www.google.com/search?q=sansato%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E6%B2%A2%E4%BA%94%E4%B8%81%E7%9B%AE36%E7%95%AA14%E5%8F%B7
ＹＡＴＥ,東京都世田谷区北沢二丁目12番3号,石川ビル301,北沢,飲食店営業,8世保生食ほ第394号,2026-06-25,2026-06-25,個店,,令和8年6月,https://www.google.com/maps/search/?api=1&query=YATE%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE12%E7%95%AA3%E5%8F%B7,https://www.google.com/search?q=YATE%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE12%E7%95%AA3%E5%8F%B7
ＦＥＮＤＥＲ　ＣＡＦＥ　ＳＨＩＭＯＫＩＴＡＺＡＷＡ,東京都世田谷区北沢一丁目40番11号,サニーハイマート下北沢103号,北沢,飲食店営業,8世保生食ほ第371号,2026-06-23,2026-06-23,個店,,令和8年6月,https://www.google.com/maps/search/?api=1&query=FENDER%20CAFE%20SHIMOKITAZAWA%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%B8%80%E4%B8%81%E7%9B%AE40%E7%95%AA11%E5%8F%B7,https://www.google.com/search?q=FENDER%20CAFE%20SHIMOKITAZAWA%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%B8%80%E4%B8%81%E7%9B%AE40%E7%95%AA11%E5%8F%B7
多田バー,東京都世田谷区北沢二丁目12番3号,石川ビル302,北沢,飲食店営業,8世保生食ほ第431号,2026-06-23,2026-06-23,個店,,令和8年6月,https://www.google.com/maps/search/?api=1&query=%E5%A4%9A%E7%94%B0%E3%83%90%E3%83%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE12%E7%95%AA3%E5%8F%B7,https://www.google.com/search?q=%E5%A4%9A%E7%94%B0%E3%83%90%E3%83%BC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE12%E7%95%AA3%E5%8F%B7
麺　かすみ,東京都世田谷区北沢二丁目10番20号,ミカン下北D202,北沢,飲食店営業,8世保生食ほ第355号,2026-06-08,2026-06-08,個店,,令和8年6月,https://www.google.com/maps/search/?api=1&query=%E9%BA%BA%20%E3%81%8B%E3%81%99%E3%81%BF%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE10%E7%95%AA20%E5%8F%B7,https://www.google.com/search?q=%E9%BA%BA%20%E3%81%8B%E3%81%99%E3%81%BF%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE10%E7%95%AA20%E5%8F%B7
ｉＳＤＧ麻辣燙　中華房　下北沢店,東京都世田谷区北沢二丁目34番3号,ミドキタ1B,北沢,飲食店営業,8世保生食ほ第374号,2026-06-05,2026-06-05,個店,,令和8年6月,https://www.google.com/maps/search/?api=1&query=iSDG%E9%BA%BB%E8%BE%A3%E7%87%99%20%E4%B8%AD%E8%8F%AF%E6%88%BF%20%E4%B8%8B%E5%8C%97%E6%B2%A2%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE34%E7%95%AA3%E5%8F%B7,https://www.google.com/search?q=iSDG%E9%BA%BB%E8%BE%A3%E7%87%99%20%E4%B8%AD%E8%8F%AF%E6%88%BF%20%E4%B8%8B%E5%8C%97%E6%B2%A2%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE34%E7%95%AA3%E5%8F%B7
Ｏ,東京都世田谷区代沢二丁目36番24号,みのりテラス1F店舗部分,代沢,飲食店営業,8世保生食ほ第375号,2026-06-05,2026-06-05,個店,,令和8年6月,https://www.google.com/maps/search/?api=1&query=O%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE36%E7%95%AA24%E5%8F%B7,https://www.google.com/search?q=O%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE36%E7%95%AA24%E5%8F%B7
金威となり,東京都世田谷区代沢三丁目14番3号,-,代沢,飲食店営業,8世保生食ほ第348号,2026-06-05,2026-06-05,個店,,令和8年6月,https://www.google.com/maps/search/?api=1&query=%E9%87%91%E5%A8%81%E3%81%A8%E3%81%AA%E3%82%8A%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E6%B2%A2%E4%B8%89%E4%B8%81%E7%9B%AE14%E7%95%AA3%E5%8F%B7,https://www.google.com/search?q=%E9%87%91%E5%A8%81%E3%81%A8%E3%81%AA%E3%82%8A%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E6%B2%A2%E4%B8%89%E4%B8%81%E7%9B%AE14%E7%95%AA3%E5%8F%B7
ＳＨＡＫＥ（シャケ）,東京都世田谷区北沢二丁目11番2号,パティオ下北沢3F,北沢,飲食店営業,8世保生食ほ第202号,2026-06-01,2026-06-01,更新,,令和8年6月,https://www.google.com/maps/search/?api=1&query=SHAKE%28%E3%82%B7%E3%83%A3%E3%82%B1%29%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE11%E7%95%AA2%E5%8F%B7,https://www.google.com/search?q=SHAKE%28%E3%82%B7%E3%83%A3%E3%82%B1%29%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE11%E7%95%AA2%E5%8F%B7
ＰＯＯＬ,東京都世田谷区北沢二丁目9番25号,城和ビル2F,北沢,飲食店営業,8世保生食ほ第324号,2026-06-01,2026-06-01,更新,,令和8年6月,https://www.google.com/maps/search/?api=1&query=POOL%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE9%E7%95%AA25%E5%8F%B7,https://www.google.com/search?q=POOL%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE9%E7%95%AA25%E5%8F%B7
湘南倶楽部,東京都世田谷区代田六丁目1番17号,-,代田,飲食店営業,8世保生食ほ第93号,2026-06-01,2026-06-01,更新,,令和8年6月,https://www.google.com/maps/search/?api=1&query=%E6%B9%98%E5%8D%97%E5%80%B6%E6%A5%BD%E9%83%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E7%94%B0%E5%85%AD%E4%B8%81%E7%9B%AE1%E7%95%AA17%E5%8F%B7,https://www.google.com/search?q=%E6%B9%98%E5%8D%97%E5%80%B6%E6%A5%BD%E9%83%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E7%94%B0%E5%85%AD%E4%B8%81%E7%9B%AE1%E7%95%AA17%E5%8F%B7
快活ＣＬＵＢ　下北沢店,東京都世田谷区北沢二丁目4番5号,mosia 5F,北沢,飲食店営業,8世保生食ほ第130号,2026-06-01,2026-06-01,更新,快活CLUB,令和8年6月,https://www.google.com/maps/search/?api=1&query=%E5%BF%AB%E6%B4%BBCLUB%20%E4%B8%8B%E5%8C%97%E6%B2%A2%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE4%E7%95%AA5%E5%8F%B7,https://www.google.com/search?q=%E5%BF%AB%E6%B4%BBCLUB%20%E4%B8%8B%E5%8C%97%E6%B2%A2%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE4%E7%95%AA5%E5%8F%B7
ラーメン二郎　環七新代田店,東京都世田谷区代田五丁目29番5号,桜井ビル101,代田,飲食店営業,8世保生食ほ第125号,2026-06-01,2026-06-01,更新,ラーメン二郎,令和8年6月,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%E4%BA%8C%E9%83%8E%20%E7%92%B0%E4%B8%83%E6%96%B0%E4%BB%A3%E7%94%B0%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E7%94%B0%E4%BA%94%E4%B8%81%E7%9B%AE29%E7%95%AA5%E5%8F%B7,https://www.google.com/search?q=%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%E4%BA%8C%E9%83%8E%20%E7%92%B0%E4%B8%83%E6%96%B0%E4%BB%A3%E7%94%B0%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E7%94%B0%E4%BA%94%E4%B8%81%E7%9B%AE29%E7%95%AA5%E5%8F%B7
イル・トラメッツィーノ,東京都世田谷区北沢三丁目7番1号,宇治川ビル1階,北沢,飲食店営業,8世保生食ほ第237号,2026-06-01,2026-06-01,更新,,令和8年6月,https://www.google.com/maps/search/?api=1&query=%E3%82%A4%E3%83%AB%E3%83%BB%E3%83%88%E3%83%A9%E3%83%A1%E3%83%83%E3%83%84%E3%82%A3%E3%83%BC%E3%83%8E%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%B8%89%E4%B8%81%E7%9B%AE7%E7%95%AA1%E5%8F%B7,https://www.google.com/search?q=%E3%82%A4%E3%83%AB%E3%83%BB%E3%83%88%E3%83%A9%E3%83%A1%E3%83%83%E3%83%84%E3%82%A3%E3%83%BC%E3%83%8E%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%B8%89%E4%B8%81%E7%9B%AE7%E7%95%AA1%E5%8F%B7
もり蕎麦　太田,東京都世田谷区北沢二丁目39番13号,-,北沢,飲食店営業,8世保生食ほ第109号,2026-06-01,2026-06-01,更新,,令和8年6月,https://www.google.com/maps/search/?api=1&query=%E3%82%82%E3%82%8A%E8%95%8E%E9%BA%A6%20%E5%A4%AA%E7%94%B0%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE39%E7%95%AA13%E5%8F%B7,https://www.google.com/search?q=%E3%82%82%E3%82%8A%E8%95%8E%E9%BA%A6%20%E5%A4%AA%E7%94%B0%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE39%E7%95%AA13%E5%8F%B7
どてのざわざわ,東京都世田谷区北沢二丁目9番21号,1階2階,北沢,飲食店営業,8世保生食ほ第137号,2026-06-01,2026-06-01,更新,,令和8年6月,https://www.google.com/maps/search/?api=1&query=%E3%81%A9%E3%81%A6%E3%81%AE%E3%81%96%E3%82%8F%E3%81%96%E3%82%8F%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE9%E7%95%AA21%E5%8F%B7,https://www.google.com/search?q=%E3%81%A9%E3%81%A6%E3%81%AE%E3%81%96%E3%82%8F%E3%81%96%E3%82%8F%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE9%E7%95%AA21%E5%8F%B7
あさ家,東京都世田谷区代沢二丁目36番30号,-,代沢,飲食店営業,8世保生食ほ第274号,2026-06-01,2026-06-01,更新,,令和8年6月,https://www.google.com/maps/search/?api=1&query=%E3%81%82%E3%81%95%E5%AE%B6%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE36%E7%95%AA30%E5%8F%B7,https://www.google.com/search?q=%E3%81%82%E3%81%95%E5%AE%B6%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE36%E7%95%AA30%E5%8F%B7
てっちょこ,東京都世田谷区北沢三丁目2番10号,B1,北沢,そうざい製造業,8世保生食ほ第282号,2026-05-27,2026-05-27,個店,,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%B8%89%E4%B8%81%E7%9B%AE2%E7%95%AA10%E5%8F%B7,https://www.google.com/search?q=%E3%81%A6%E3%81%A3%E3%81%A1%E3%82%87%E3%81%93%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%B8%89%E4%B8%81%E7%9B%AE2%E7%95%AA10%E5%8F%B7
